rise,set,phase offset,moon,phase,trigmoon,,
12/30/2017 07:17 AM,12/30/2017 06:05 PM,1,0.9667,14,0.1,,
12/31/2017 07:17 AM,12/31/2017 06:05 PM,1,1,15,0.1,,
01/01/2018 07:18 AM,01/01/2018 06:06 PM,2,0.0333,16,0.1,,
01/02/2018 07:18 AM,01/02/2018 06:07 PM,3,0.0667,17,0.1,,
01/03/2018 07:18 AM,01/03/2018 06:07 PM,4,0.1,18,0.1,,
01/04/2018 07:18 AM,01/04/2018 06:08 PM,5,0.1333,19,0.1,,
01/05/2018 07:19 AM,01/05/2018 06:09 PM,6,0.1667,20,0.1,,
01/06/2018 07:19 AM,01/06/2018 06:09 PM,7,0.2,21,0.1,,
01/07/2018 07:19 AM,01/07/2018 06:10 PM,8,0.2333,22,0.1,,
01/08/2018 07:19 AM,01/08/2018 06:11 PM,9,0.2667,23,0.1,,
01/09/2018 07:19 AM,01/09/2018 06:11 PM,10,0.3,24,0.1,,
01/10/2018 07:19 AM,01/10/2018 06:12 PM,11,0.3333,25,0.1,,
01/11/2018 07:20 AM,01/11/2018 06:13 PM,12,0.3667,26,0.1,,
01/12/2018 07:20 AM,01/12/2018 06:13 PM,13,0.4,27,0.1,,
01/13/2018 07:20 AM,01/13/2018 06:14 PM,14,0.4333,28,0.1,,
01/14/2018 07:20 AM,01/14/2018 06:15 PM,15,0.4667,29,0.1,,
01/15/2018 07:20 AM,01/15/2018 06:16 PM,16,0.5,30,0.1,,
01/16/2018 07:20 AM,01/16/2018 06:16 PM,17,0.5333,1,0.1,,
01/17/2018 07:20 AM,01/17/2018 06:17 PM,18,0.5667,2,0.1,,
01/18/2018 07:20 AM,01/18/2018 06:18 PM,19,0.6,3,0.1,,
01/19/2018 07:20 AM,01/19/2018 06:18 PM,20,0.6333,4,0.1,,
01/20/2018 07:19 AM,01/20/2018 06:19 PM,21,0.6667,5,0.1,,
01/21/2018 07:19 AM,01/21/2018 06:20 PM,22,0.7,6,0.1,,
01/22/2018 07:19 AM,01/22/2018 06:20 PM,23,0.7333,7,0.1,,
01/23/2018 07:19 AM,01/23/2018 06:21 PM,24,0.7667,8,0.1,,
01/24/2018 07:19 AM,01/24/2018 06:22 PM,25,0.8,9,0.1,,
01/25/2018 07:19 AM,01/25/2018 06:22 PM,26,0.8333,10,0.1,,
