rise,set,phase offset,moon,phase,trigmoon
11/28/2016 6:59 AM,11/28/2016 5:53 PM,16,0.5172,1,0.5133
11/29/2016 7:00 AM,11/29/2016 5:53 PM,17,0.5517,2,0.5664
11/30/2016 7:01 AM,11/30/2016 5:53 PM,18,0.5862,3,0.6187
12/01/2016 7:01 AM,12/01/2016 5:53 PM,19,0.6207,4,0.6696
12/02/2016 7:02 AM,12/02/2016 5:54 PM,20,0.6552,5,0.7187
12/03/2016 7:03 AM,12/03/2016 5:54 PM,21,0.6897,6,0.7652
12/04/2016 7:03 AM,12/04/2016 5:54 PM,22,0.7241,7,0.8088
12/05/2016 7:04 AM,12/05/2016 5:54 PM,23,0.7586,8,0.8488
12/06/2016 7:04 AM,12/06/2016 5:54 PM,24,0.7931,9,0.8849
12/07/2016 7:05 AM,12/07/2016 5:54 PM,25,0.8276,10,0.9167
12/08/2016 7:06 AM,12/08/2016 5:55 PM,26,0.8621,11,0.9437
12/09/2016 7:06 AM,12/09/2016 5:55 PM,27,0.8966,12,0.9657
12/10/2016 7:07 AM,12/10/2016 5:55 PM,28,0.9310,13,0.9824
12/11/2016 7:08 AM,12/11/2016 5:56 PM,29,0.9655,14,0.9936
12/12/2016 7:08 AM,12/12/2016 5:56 PM,1,1.0000,15,1.0000
12/13/2016 7:09 AM,12/13/2016 5:56 PM,2,0.0333,16,0.0028
12/14/2016 7:09 AM,12/14/2016 5:57 PM,3,0.0667,17,0.0113
12/15/2016 7:10 AM,12/15/2016 5:57 PM,4,0.1000,18,0.0253
12/16/2016 7:11 AM,12/16/2016 5:58 PM,5,0.1333,19,0.0447
12/17/2016 7:11 AM,12/17/2016 5:58 PM,6,0.1667,20,0.0692
12/18/2016 7:12 AM,12/18/2016 5:58 PM,7,0.2000,21,0.0986
12/19/2016 7:12 AM,12/19/2016 5:59 PM,8,0.2333,22,0.1326
12/20/2016 7:13 AM,12/20/2016 5:59 PM,9,0.2667,23,0.1707
12/21/2016 7:13 AM,12/21/2016 6:00 PM,10,0.3000,24,0.2126
12/22/2016 7:14 AM,12/22/2016 6:00 PM,11,0.3333,25,0.2577
12/23/2016 7:14 AM,12/23/2016 6:01 PM,12,0.3667,26,0.3056
12/24/2016 7:15 AM,12/24/2016 6:01 PM,13,0.4000,27,0.3557
12/25/2016 7:15 AM,12/25/2016 6:02 PM,14,0.4333,28,0.4074
12/26/2016 7:15 AM,12/26/2016 6:03 PM,15,0.4667,29,0.4601
12/27/2016 7:16 AM,12/27/2016 6:03 PM,16,0.5000,1,0.5133
12/28/2016 7:16 AM,12/28/2016 6:04 PM,17,0.5333,2,0.5664
12/29/2016 7:17 AM,12/29/2016 6:04 PM,18,0.5667,3,0.6187
12/30/2016 7:17 AM,12/30/2016 6:05 PM,19,0.6000,4,0.6696
12/31/2016 7:17 AM,12/31/2016 6:06 PM,20,0.6333,5,0.7187
