date,height,highlow
02/10/2018 12:16 AM,1.79,H
02/10/2018 07:36 AM,0.42,L
02/10/2018 11:32 AM,0.65,H
02/10/2018 04:41 PM,0.02,L
02/11/2018 12:54 AM,1.9,H
02/11/2018 07:54 AM,0.36,L
02/11/2018 12:21 PM,0.69,H
02/11/2018 05:26 PM,-0.03,L
02/12/2018 01:28 AM,1.97,H
02/12/2018 08:10 AM,0.32,L
02/12/2018 12:59 PM,0.75,H
02/12/2018 06:08 PM,-0.09,L
02/13/2018 01:59 AM,2.02,H
02/13/2018 08:27 AM,0.28,L
02/13/2018 01:33 PM,0.82,H
02/13/2018 06:46 PM,-0.13,L
02/14/2018 02:28 AM,2.04,H
02/14/2018 08:47 AM,0.24,L
02/14/2018 02:06 PM,0.89,H
02/14/2018 07:23 PM,-0.15,L
02/15/2018 02:57 AM,2.03,H
02/15/2018 09:10 AM,0.2,L
02/15/2018 02:40 PM,0.96,H
02/15/2018 07:59 PM,-0.13,L
02/16/2018 03:24 AM,1.98,H
02/16/2018 09:35 AM,0.15,L
02/16/2018 03:18 PM,1.01,H
02/16/2018 08:36 PM,-0.07,L
02/17/2018 03:51 AM,1.89,H
02/17/2018 10:02 AM,0.1,L
02/17/2018 03:59 PM,1.07,H
02/17/2018 09:16 PM,0.04,L
02/18/2018 04:18 AM,1.75,H
02/18/2018 10:31 AM,0.07,L
02/18/2018 04:46 PM,1.12,H
02/18/2018 10:01 PM,0.18,L
02/19/2018 04:45 AM,1.58,H
02/19/2018 11:03 AM,0.04,L
02/19/2018 05:42 PM,1.18,H
02/19/2018 10:54 PM,0.35,L
02/20/2018 05:12 AM,1.37,H
02/20/2018 11:39 AM,0.02,L
02/20/2018 06:52 PM,1.26,H
02/21/2018 12:06 AM,0.52,L
02/21/2018 05:41 AM,1.14,H
02/21/2018 12:20 PM,0.01,L
02/21/2018 08:18 PM,1.39,H
02/22/2018 01:54 AM,0.63,L
02/22/2018 06:13 AM,0.91,H
02/22/2018 01:12 PM,-0.01,L
02/22/2018 09:43 PM,1.57,H
02/23/2018 04:46 AM,0.59,L
02/23/2018 07:16 AM,0.7,H
02/23/2018 02:15 PM,-0.03,L
02/23/2018 10:53 PM,1.78,H
