date,height,highlow
12/31/2014 12:08 AM,1.96,H
12/31/2014 6:48 AM,0.61,L
12/31/2014 10:52 AM,0.9,H
12/31/2014 4:41 PM,-0.12,L
01/01/2015 12:52 AM,2.1,H
01/01/2015 7:31 AM,0.52,L
01/01/2015 11:52 AM,0.88,H
01/01/2015 5:27 PM,-0.14,L
01/02/2015 1:30 AM,2.22,H
01/02/2015 8:11 AM,0.43,L
01/02/2015 12:42 PM,0.85,H
01/02/2015 6:06 PM,-0.16,L
01/03/2015 2:05 AM,2.29,H
01/03/2015 8:44 AM,0.38,L
01/03/2015 1:26 PM,0.84,H
01/03/2015 6:44 PM,-0.16,L
01/04/2015 2:39 AM,2.3,H
01/04/2015 9:14 AM,0.34,L
01/04/2015 2:07 PM,0.85,H
01/04/2015 7:20 PM,-0.14,L
01/05/2015 3:11 AM,2.28,H
01/05/2015 9:43 AM,0.31,L
01/05/2015 2:45 PM,0.86,H
01/05/2015 7:56 PM,-0.09,L
01/06/2015 3:43 AM,2.22,H
01/06/2015 10:13 AM,0.29,L
01/06/2015 3:25 PM,0.87,H
01/06/2015 8:33 PM,-0.02,L
01/07/2015 4:14 AM,2.12,H
01/07/2015 10:44 AM,0.28,L
01/07/2015 4:07 PM,0.87,H
01/07/2015 9:09 PM,0.09,L
01/08/2015 4:45 AM,1.98,H
01/08/2015 11:17 AM,0.26,L
01/08/2015 4:55 PM,0.88,H
01/08/2015 9:47 PM,0.22,L
01/09/2015 5:14 AM,1.83,H
01/09/2015 11:51 AM,0.25,L
01/09/2015 5:54 PM,0.9,H
01/09/2015 10:29 PM,0.38,L
01/10/2015 5:41 AM,1.65,H
01/10/2015 12:27 PM,0.23,L
01/10/2015 7:11 PM,0.95,H
01/10/2015 11:21 PM,0.56,L
01/11/2015 6:08 AM,1.46,H
01/11/2015 1:06 PM,0.2,L
01/11/2015 8:43 PM,1.07,H
01/12/2015 12:35 AM,0.72,L
01/12/2015 6:34 AM,1.28,H
01/12/2015 1:48 PM,0.16,L
01/12/2015 10:04 PM,1.26,H
01/13/2015 2:32 AM,0.81,L
01/13/2015 7:07 AM,1.11,H
01/13/2015 2:34 PM,0.1,L
01/13/2015 11:02 PM,1.48,H
01/14/2015 4:58 AM,0.78,L
01/14/2015 8:10 AM,0.95,H
01/14/2015 3:21 PM,0.03,L
01/14/2015 11:47 PM,1.72,H
01/15/2015 6:24 AM,0.66,L
01/15/2015 9:51 AM,0.84,H
01/15/2015 4:09 PM,-0.06,L
01/16/2015 12:27 AM,1.94,H
01/16/2015 7:05 AM,0.54,L
01/16/2015 11:09 AM,0.8,H
01/16/2015 4:57 PM,-0.15,L
01/17/2015 1:05 AM,2.15,H
01/17/2015 7:39 AM,0.42,L
01/17/2015 12:09 PM,0.81,H
01/17/2015 5:43 PM,-0.24,L
01/18/2015 1:42 AM,2.31,H
01/18/2015 8:12 AM,0.32,L
01/18/2015 1:01 PM,0.84,H
01/18/2015 6:29 PM,-0.31,L
01/19/2015 2:20 AM,2.42,H
01/19/2015 8:47 AM,0.24,L
01/19/2015 1:51 PM,0.89,H
01/19/2015 7:15 PM,-0.33,L
01/20/2015 2:59 AM,2.45,H
01/20/2015 9:23 AM,0.17,L
01/20/2015 2:40 PM,0.95,H
01/20/2015 8:01 PM,-0.3,L
01/21/2015 3:38 AM,2.4,H
01/21/2015 10:00 AM,0.11,L
01/21/2015 3:32 PM,1.01,H
01/21/2015 8:48 PM,-0.19,L
01/22/2015 4:16 AM,2.26,H
01/22/2015 10:38 AM,0.07,L
01/22/2015 4:29 PM,1.06,H
01/22/2015 9:38 PM,-0.02,L
01/23/2015 4:55 AM,2.05,H
01/23/2015 11:18 AM,0.03,L
01/23/2015 5:34 PM,1.11,H
01/23/2015 10:32 PM,0.19,L
01/24/2015 5:34 AM,1.79,H
01/24/2015 12:00 PM,0.01,L
01/24/2015 6:50 PM,1.19,H
01/24/2015 11:37 PM,0.43,L
01/25/2015 6:13 AM,1.51,H
01/25/2015 12:45 PM,0,L
01/25/2015 8:16 PM,1.31,H
01/26/2015 1:05 AM,0.63,L
01/26/2015 6:56 AM,1.23,H
01/26/2015 1:35 PM,-0.01,L
01/26/2015 9:42 PM,1.48,H
01/27/2015 3:22 AM,0.72,L
01/27/2015 7:53 AM,0.99,H
01/27/2015 2:29 PM,-0.01,L
01/27/2015 10:53 PM,1.67,H
01/28/2015 5:52 AM,0.63,L
01/28/2015 9:21 AM,0.82,H
01/28/2015 3:26 PM,-0.03,L
01/28/2015 11:49 PM,1.84,H
01/29/2015 6:57 AM,0.51,L
01/29/2015 10:48 AM,0.74,H
01/29/2015 4:21 PM,-0.05,L
01/30/2015 12:34 AM,1.97,H
01/30/2015 7:33 AM,0.41,L
01/30/2015 11:53 AM,0.74,H
01/30/2015 5:10 PM,-0.08,L
01/31/2015 1:13 AM,2.05,H
01/31/2015 7:59 AM,0.35,L
01/31/2015 12:42 PM,0.79,H
01/31/2015 5:54 PM,-0.1,L
02/01/2015 1:47 AM,2.09,H
02/01/2015 8:22 AM,0.3,L
02/01/2015 1:23 PM,0.84,H
02/01/2015 6:34 PM,-0.12,L
02/02/2015 2:19 AM,2.1,H
02/02/2015 8:43 AM,0.26,L
02/02/2015 2:00 PM,0.9,H
02/02/2015 7:12 PM,-0.12,L
02/03/2015 2:49 AM,2.07,H
02/03/2015 9:05 AM,0.22,L
02/03/2015 2:35 PM,0.96,H
02/03/2015 7:48 PM,-0.09,L
02/04/2015 3:17 AM,2,H
02/04/2015 9:28 AM,0.19,L
02/04/2015 3:10 PM,1.01,H
