date,height,highlow
12/26/2015 8:24 PM,-0.11,L
12/27/2015 4:13 AM,2.33,H
12/27/2015 10:50 AM,0.28,L
12/27/2015 4:01 PM,0.85,H
12/27/2015 9:03 PM,0.01,L
12/28/2015 4:50 AM,2.18,H
12/28/2015 11:29 AM,0.28,L
12/28/2015 4:55 PM,0.85,H
12/28/2015 9:44 PM,0.16,L
12/29/2015 5:25 AM,1.99,H
12/29/2015 12:09 PM,0.27,L
12/29/2015 5:59 PM,0.86,H
12/29/2015 10:27 PM,0.34,L
12/30/2015 6:00 AM,1.79,H
12/30/2015 12:49 PM,0.26,L
12/30/2015 7:21 PM,0.91,H
12/30/2015 11:19 PM,0.53,L
12/31/2015 6:35 AM,1.58,H
12/31/2015 1:31 PM,0.24,L
12/31/2015 8:54 PM,1.03,H
01/01/2016 12:31 AM,0.69,L
01/01/2016 7:20 AM,1.4,H
01/01/2016 2:22 PM,0.21,L
01/01/2016 10:17 PM,1.2,H
01/02/2016 2:20 AM,0.81,L
01/02/2016 8:05 AM,1.21,H
01/02/2016 3:02 PM,0.16,L
01/02/2016 11:14 PM,1.41,H
01/03/2016 4:38 AM,0.81,L
01/03/2016 9:02 AM,1.06,H
01/03/2016 3:41 PM,0.1,L
01/03/2016 11:56 PM,1.63,H
01/04/2016 6:16 AM,0.72,L
01/04/2016 10:07 AM,0.94,H
01/04/2016 4:19 PM,0.03,L
01/05/2016 12:32 AM,1.82,H
01/05/2016 7:06 AM,0.62,L
01/05/2016 11:06 AM,0.87,H
01/05/2016 4:57 PM,-0.04,L
01/06/2016 1:05 AM,2,H
01/06/2016 7:40 AM,0.53,L
01/06/2016 11:56 AM,0.84,H
01/06/2016 5:35 PM,-0.12,L
01/07/2016 1:38 AM,2.15,H
01/07/2016 8:10 AM,0.45,L
01/07/2016 12:41 PM,0.83,H
01/07/2016 6:13 PM,-0.18,L
01/08/2016 2:11 AM,2.27,H
01/08/2016 8:41 AM,0.37,L
01/08/2016 1:24 PM,0.84,H
01/08/2016 6:52 PM,-0.23,L
01/09/2016 2:45 AM,2.35,H
01/09/2016 9:14 AM,0.31,L
01/09/2016 2:07 PM,0.85,H
01/09/2016 7:32 PM,-0.24,L
01/10/2016 3:20 AM,2.38,H
01/10/2016 9:49 AM,0.26,L
01/10/2016 2:51 PM,0.87,H
01/10/2016 8:13 PM,-0.21,L
01/11/2016 3:56 AM,2.35,H
01/11/2016 10:26 AM,0.21,L
01/11/2016 3:41 PM,0.88,H
01/11/2016 8:56 PM,-0.12,L
01/12/2016 4:34 AM,2.25,H
01/12/2016 11:06 AM,0.17,L
01/12/2016 4:37 PM,0.9,H
01/12/2016 9:42 PM,0.02,L
01/13/2016 5:12 AM,2.09,H
01/13/2016 11:48 AM,0.13,L
01/13/2016 5:45 PM,0.94,H
01/13/2016 10:35 PM,0.22,L
01/14/2016 5:52 AM,1.88,H
01/14/2016 12:32 PM,0.09,L
01/14/2016 7:09 PM,1.03,H
01/14/2016 11:40 PM,0.44,L
01/15/2016 6:34 AM,1.62,H
01/15/2016 1:19 PM,0.05,L
01/15/2016 8:43 PM,1.21,H
01/16/2016 1:11 AM,0.64,L
01/16/2016 7:21 AM,1.36,H
01/16/2016 2:08 PM,0,L
01/16/2016 10:07 PM,1.45,H
01/17/2016 3:18 AM,0.73,L
01/17/2016 8:22 AM,1.11,H
01/17/2016 3:00 PM,-0.05,L
01/17/2016 11:12 PM,1.72,H
01/18/2016 5:31 AM,0.66,L
01/18/2016 9:41 AM,0.93,H
01/18/2016 3:51 PM,-0.1,L
01/19/2016 12:05 AM,1.95,H
01/19/2016 6:49 AM,0.53,L
01/19/2016 10:58 AM,0.83,H
01/19/2016 4:41 PM,-0.15,L
01/20/2016 12:50 AM,2.13,H
01/20/2016 7:36 AM,0.42,L
01/20/2016 12:02 PM,0.79,H
01/20/2016 5:28 PM,-0.19,L
01/21/2016 1:30 AM,2.25,H
01/21/2016 8:12 AM,0.33,L
01/21/2016 12:54 PM,0.81,H
01/21/2016 6:13 PM,-0.22,L
01/22/2016 2:08 AM,2.3,H
01/22/2016 8:43 AM,0.28,L
01/22/2016 1:40 PM,0.84,H
01/22/2016 6:55 PM,-0.21,L
01/23/2016 2:43 AM,2.29,H
01/23/2016 9:12 AM,0.24,L
01/23/2016 2:22 PM,0.88,H
01/23/2016 7:35 PM,-0.18,L
01/24/2016 3:17 AM,2.23,H
01/24/2016 9:41 AM,0.21,L
01/24/2016 3:03 PM,0.92,H
01/24/2016 8:13 PM,-0.12,L
01/25/2016 3:49 AM,2.13,H
01/25/2016 10:10 AM,0.19,L
01/25/2016 3:45 PM,0.95,H
01/25/2016 8:52 PM,-0.02,L
01/26/2016 4:20 AM,1.99,H
01/26/2016 10:40 AM,0.18,L
01/26/2016 4:29 PM,0.97,H
01/26/2016 9:31 PM,0.11,L
01/27/2016 4:49 AM,1.82,H
01/27/2016 11:11 AM,0.17,L
01/27/2016 5:19 PM,0.99,H
01/27/2016 10:12 PM,0.27,L
01/28/2016 5:17 AM,1.63,H
01/28/2016 11:44 AM,0.17,L
01/28/2016 6:19 PM,1.02,H
01/28/2016 10:59 PM,0.44,L
01/29/2016 5:42 AM,1.43,H
01/29/2016 12:19 PM,0.17,L
01/29/2016 7:36 PM,1.08,H
01/30/2016 12:01 AM,0.62,L
01/30/2016 6:04 AM,1.23,H
01/30/2016 12:58 PM,0.16,L
01/30/2016 9:04 PM,1.19,H
01/31/2016 1:37 AM,0.74,L
01/31/2016 6:21 AM,1.04,H
01/31/2016 1:44 PM,0.14,L
01/31/2016 10:20 PM,1.35,H
02/01/2016 2:35 PM,0.11,L
02/01/2016 11:16 PM,1.54,H
02/02/2016 3:30 PM,0.05,L
02/03/2016 12:00 AM,1.73,H
02/03/2016 7:07 AM,0.53,L
02/03/2016 10:40 AM,0.71,H
02/03/2016 4:22 PM,-0.02,L
02/04/2016 12:38 AM,1.9,H
02/04/2016 7:23 AM,0.44,L
02/04/2016 11:43 AM,0.73,H
02/04/2016 5:10 PM,-0.11,L
02/05/2016 1:13 AM,2.05,H
02/05/2016 7:45 AM,0.35,L
02/05/2016 12:33 PM,0.79,H
02/05/2016 5:56 PM,-0.19,L
02/06/2016 1:48 AM,2.17,H
02/06/2016 8:11 AM,0.26,L
02/06/2016 1:18 PM,0.86,H
02/06/2016 6:40 PM,-0.26,L
02/07/2016 2:22 AM,2.24,H
02/07/2016 8:40 AM,0.18,L
02/07/2016 2:02 PM,0.95,H
02/07/2016 7:24 PM,-0.27,L
02/08/2016 2:57 AM,2.24,H
02/08/2016 9:12 AM,0.11,L
02/08/2016 2:47 PM,1.03,H
02/08/2016 8:09 PM,-0.24,L
02/09/2016 3:32 AM,2.18,H
02/09/2016 9:45 AM,0.05,L
02/09/2016 3:36 PM,1.11,H
02/09/2016 8:55 PM,-0.14,L
02/10/2016 4:08 AM,2.04,H
02/10/2016 10:20 AM,0,L
02/10/2016 4:29 PM,1.18,H
02/10/2016 9:45 PM,0.02,L
02/11/2016 4:44 AM,1.83,H
02/11/2016 10:58 AM,-0.03,L
02/11/2016 5:30 PM,1.24,H
02/11/2016 10:41 PM,0.22,L
02/12/2016 5:20 AM,1.58,H
02/12/2016 11:38 AM,-0.04,L
02/12/2016 6:42 PM,1.31,H
02/12/2016 11:50 PM,0.43,L
02/13/2016 5:58 AM,1.3,H
02/13/2016 12:23 PM,-0.04,L
02/13/2016 8:06 PM,1.41,H
02/14/2016 1:26 AM,0.6,L
02/14/2016 6:42 AM,1.04,H
02/14/2016 1:14 PM,-0.03,L
02/14/2016 9:32 PM,1.55,H
02/15/2016 3:56 AM,0.62,L
02/15/2016 7:52 AM,0.82,H
02/15/2016 2:15 PM,-0.02,L
02/15/2016 10:45 PM,1.72,H
02/16/2016 6:01 AM,0.5,L
02/16/2016 9:43 AM,0.69,H
02/16/2016 3:21 PM,-0.03,L
02/16/2016 11:43 PM,1.87,H
02/17/2016 6:50 AM,0.39,L
02/17/2016 11:10 AM,0.69,H
02/17/2016 4:24 PM,-0.05,L
02/18/2016 12:30 AM,1.97,H
02/18/2016 7:21 AM,0.3,L
02/18/2016 12:11 PM,0.75,H
02/18/2016 5:19 PM,-0.09,L
02/19/2016 1:11 AM,2.03,H
02/19/2016 7:47 AM,0.24,L
02/19/2016 12:58 PM,0.84,H
02/19/2016 6:07 PM,-0.11,L
02/20/2016 1:47 AM,2.04,H
02/20/2016 8:10 AM,0.19,L
02/20/2016 1:38 PM,0.94,H
02/20/2016 6:50 PM,-0.12,L
02/21/2016 2:19 AM,2.01,H
02/21/2016 8:33 AM,0.15,L
02/21/2016 2:15 PM,1.03,H
02/21/2016 7:29 PM,-0.11,L
02/22/2016 2:50 AM,1.94,H
02/22/2016 8:55 AM,0.12,L
02/22/2016 2:51 PM,1.1,H
02/22/2016 8:07 PM,-0.06,L
02/23/2016 3:18 AM,1.84,H
02/23/2016 9:19 AM,0.09,L
02/23/2016 3:27 PM,1.17,H
02/23/2016 8:45 PM,0.02,L
02/24/2016 3:45 AM,1.7,H
02/24/2016 9:44 AM,0.07,L
02/24/2016 4:05 PM,1.21,H
02/24/2016 9:24 PM,0.12,L
02/25/2016 4:10 AM,1.54,H
02/25/2016 10:10 AM,0.06,L
02/25/2016 4:46 PM,1.24,H
02/25/2016 10:05 PM,0.25,L
02/26/2016 4:33 AM,1.36,H
02/26/2016 10:38 AM,0.07,L
02/26/2016 5:32 PM,1.25,H
02/26/2016 10:52 PM,0.39,L
02/27/2016 4:54 AM,1.19,H
02/27/2016 11:08 AM,0.08,L
02/27/2016 6:28 PM,1.26,H
02/27/2016 11:51 PM,0.52,L
02/28/2016 5:11 AM,1.02,H
02/28/2016 11:44 AM,0.11,L
02/28/2016 7:41 PM,1.28,H
02/29/2016 1:18 AM,0.63,L
02/29/2016 5:21 AM,0.86,H
02/29/2016 12:28 PM,0.13,L
02/29/2016 9:05 PM,1.35,H
03/01/2016 1:28 PM,0.14,L
03/01/2016 10:19 PM,1.48,H
03/02/2016 2:39 PM,0.11,L
03/02/2016 11:15 PM,1.63,H
03/03/2016 6:26 AM,0.42,L
03/03/2016 10:37 AM,0.63,H
03/03/2016 3:48 PM,0.05,L
03/04/2016 12:00 AM,1.77,H
03/04/2016 6:41 AM,0.33,L
03/04/2016 11:39 AM,0.72,H
03/04/2016 4:48 PM,-0.04,L
03/05/2016 12:39 AM,1.9,H
03/05/2016 7:03 AM,0.23,L
03/05/2016 12:27 PM,0.85,H
03/05/2016 5:41 PM,-0.13,L
03/06/2016 1:16 AM,1.99,H
03/06/2016 7:29 AM,0.13,L
03/06/2016 1:11 PM,1.01,H
03/06/2016 6:31 PM,-0.19,L
